content id,Ref ID,UXA,Tagging,Copy,Assets,Legal,Client,Flow,Node,Block,Block Priority,Required Tags,Display only if inventory,Template,VDM Content Link,Video Platform,Video ID,,default action,default target,Question / Title (Carousel),Description,Disclosure,Choice A,Tags A,Affirmation A,Action A,Target A,Choice B,Tags B,Affirmation B,Action B,Target B,Choice C,Tags C,Affirmation C,Action C,Target C,Choice D,Tags D,Affirmation D,Action D,Target D,Choice E,Tags E,Affirmation E,Action E,Target E
20203,3,,,,,,,Needs,Nameplate Filter,Family Seating,10,,,Content,,,,,content id,20205,They grow up so fast. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20204,4,,,,,,,Needs,Nameplate Filter,Family Seating,10,,,Content,,,,, ,,Good to know. We can help with that.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20205,5,,,,,,,Needs,Nameplate Filter,Family Seating,10,,,Content,child-riding-toy-car-v1.gif,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20301,1,,,,,,,Needs,Nameplate Filter,Rear Seat Room,50,"exterior:seats 3-4,exterior:seats 5,interior:seats 6+",,Content,girraffe-seated-v1.gif,,,,content id,20302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302,2,,,,,,,Needs,Nameplate Filter,Rear Seat Room,50,,,Button,,,,,,,Do you need extra-roomy rear seats?,,,Not really,,,,,"Yes, please",interior:rear legroom,,content id,20303,,,,,,,,,,,,,,,
20303,3,,,,,,,Needs,Nameplate Filter,Rear Seat Room,50,,,Content,two-robot-kids-fighting-v1.gif,,,,content id,20304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20304,4,,,,,,,Needs,Nameplate Filter,Rear Seat Room,50,,,Button,,,,,,,"Do rear passengers need their personal bucket seats? You know, instead of sharing one big seat.",,,Doesn’t matter,,,,,It DEF matters,interior:rear bucketseats,,,,,,,,,,,,,,,,,,
20401,1,,,,,,,Needs,Nameplate Filter,Number of Drivers,100,persona:family,,Button,,,,,,,Will any new drivers ever take this vehicle for a spin?,,,Not a chance [winking face: U+1F609],,,,,Sometimes…,"persona:family, feature:MyKey",,content is,20402,,,,,,,,,,,,,,,
20402,2,,,,,,,Needs,Nameplate Filter,Number of Drivers,100,,,Video,,Messenger,"1961309544191316,143392619639018,1971058163215769",,content id,20403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20403,3,,,,,,,Needs,Nameplate Filter,Number of Drivers,100,,,Caption,,,,,content id,20404,MyKey*,MyKey encourages responsible driving and good habits like safety belt alerts and limiting top speeds.,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",,,,,,,,,,,,,,,,,,,,,,,,,
20404,4,,,,,,,Needs,Nameplate Filter,Number of Drivers,100,,,Quick Reply,,,,,,,Great news! MyKey comes standard on all Ford models to give you a better peace of mind.,,,"Cool, thanks!",,,,,,,,,,,,,,,,,,,,,,,,
20501,1,,,,,,,Needs,Nameplate Filter,Cargo,10,,,Button,,,,,,,"Ok, let’s talk precious cargo. We all haul stuff around, but do you normally carry smaller items (groceries/shopping bags), medium-sized things (strollers/sports gear) or bigger stuff (furniture/DIY projects)?",,, Littler things,interior:cargo small  ,,,,Med-sized stuff ,interior:cargo medium  ,,content id,20505,Bigger cargo,interior:cargo large  ,,content id,20504,,,,,,,,,,
20502,2,,,,,,,Needs,Nameplate Filter,Cargo,10,,,Button,,,,,,,Do you want to carry stuff on the roof?,,,Heck yes,exterior:cargo roof rack,,content id,20505,Nope,interior:cargo large  ,,content id,20505,,,,,,,,,,,,,,,
20503,3,,,,,,,Needs,Nameplate Filter,Cargo,10,,,Button,,,,,,,Do you need this kind of versatility? ,,,"Yes, pls","interior:cargo 60/40 folding seats, feature:60/40 rear seat",No prob. We can do that.,,,Nah,,,,,,,,,,,,,,,,,,,
20504,4,,,,,,,Needs,Nameplate Filter,Cargo,10,,,Content,suv-surfboard-drop-on-roof.gif,,,,content id,20502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,5,,,,,,,Needs,Nameplate Filter,Cargo,10,,,Content,6040-split-fold-rear-seat-v1.gif,,,,content id,20503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20701,1,,,,,,,Needs,Nameplate Filter,fun,150,,,Content,,,,,content id,20702,"Time for some fun. Pick one image below that you absolutely love. You’ll choose more features in a sec, but this just gets the ball rolling. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
20702,2,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-2.jpeg,,,,,,Vehicle Size,Your lifestyle should match the size of your ride.,,Pick a body size,persona:body style,,,,,,,,,,,,,,,,,,,,,,,
20703,3,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-3.jpeg,,,,,,Power Matters,The vroom will tell you everything. ,,Pure performance,persona:performance,,,,,,,,,,,,,,,,,,,,,,,
20704,4,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-4.jpeg,,,,,,Smart Systems,A connected ride like never before.,,Genius tech,persona:distraction free,,,,,,,,,,,,,,,,,,,,,,,
20705,5,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-5.jpeg,,,,,,Let’s Get Cozy,These materials are [smiling face with heart-eyes: U+1F60D],,Insane comfort,persona:comfort,,,,,,,,,,,,,,,,,,,,,,,
20706,6,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-6.jpeg,,,,,,Blue Skies Ahead,You love to look on the bright side.,,Lots of sun,persona:sky,,,,,,,,,,,,,,,,,,,,,,,
20707,7,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-7.jpeg,,,,,,Hitch it up,For whatever you need to pull.,,Towing Power,persona:towing,,,,,,,,,,,,,,,,,,,,,,,
20708,8,,,,,,,Needs,Nameplate Filter,fun,150,,,Carousel,fordmatch-needs-nameplate-filter-fun-8.jpeg,,,,,,Off-road Bound,Let’s get dirty. ,, Adventure-Ready,persona:4wd,,,,,,,,,,,,,,,,,,,,,,,
20801,1,,,,,,,Needs,Nameplate Filter,body style,200,persona:body style,,Content,,,,,content id,20810,So what size vehicle do you have your eye on?,,,,,,,,,,,,,,,,,,,,,,,,,,,
20802,2,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,content id,20803,Awesome. What do you think about hybrid or electric vehicles?,,,,,,,,,,,,,,,,,,,,,,,,,,,
20803,3,,,,,,,Needs,Nameplate Filter,body style,200,,,Button,hybrid.jpg,,,,,,Hybrid/Electric,"Going green is so in right now, and think of the gas money you’ll save.",,"Yes, please!",exterior:hybrid,,content id,20805,No Thanks.,,,content id,20804,,,,,,,,,,,,,,,
20804,4,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,,,No worries. Let’s find you a gas vehicle. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20805,5,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,content id,20806,Excellent choice my friend.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20806,6,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,,,I’ll prioritize hybrids and EVs in your list of matches.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20807,7,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,,,Perfect. I’ll make sure Crossovers show up in your list of matches. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20808,8,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,,,Sweet. I’ll find some great SUVs in your list of matches. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
20809,9,,,,,,,Needs,Nameplate Filter,body style,200,,,Content,,,,,,,Boo-yah! I’ll find some solid trucks in your list of matches.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20810,10,,,,,,,Needs,Nameplate Filter,body style,200,,,Carousel,Image-1-car1x.png,,,,,,Cars,"When you like your rides smooth, stylish and super-fun to drive. ",,Let’s go small,"exterior:car,exterior:carb,exterior:carc",,content id,20802,,,,,,,,,,,,,,,,,,,,
20811,11,,,,,,,Needs,Nameplate Filter,body style,200,,,Carousel,Image-2-crossover1x.png,,,,,,Crossovers,Crossovers are a car-SUV hybrid with awesome versatility and a great ride.,,Give me medium,"exterior:cuv,exterior:cuvb,exterior:cuvc",,content id,20807,,,,,,,,,,,,,,,,,,,,
20812,12,,,,,,,Needs,Nameplate Filter,body style,200,,,Carousel,Image-3-suv1x.png,,,,,,Sport Utilities,Sport utility vehicles live up to their name. Plenty of room and capability.,,I want utility,"exterior:suv,exterior:suvb,exterior:suvc",,content id,20808,,,,,,,,,,,,,,,,,,,,
20901,1,,,,,,,Needs,Nameplate Filter,Performance ,200,persona:performance,,Button,,,,,,,Awesome. What kind of performance are we talking?,,,Passing pep [automobile: U+1F697][dashing away: U+1F4A8],persona:power speed,,content id,20902,Double espresso [rocket emoji: U+1F680],persona:quick speed,,content id,20906,,,,,,,,,,,,,,,
20902,2,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Content,,,,,content id,20903,Cool. I’ll keep that in mind.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20903,3,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Button,,,,,,,Want recommendations for engines with extra horsepower?,,,Yes pls,persona:performance engine,,,,"Nah, I’m good",,,,,,,,,,,,,,,,,,,
20906,6,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Button,,,,,,,"When it comes to performance, are you in it more for the style or the speed?",,,Faster = [fire: U+1F525],persona:performance fast,,content id,20920,Style statement,persona:performance style,,content id,20907,,,,,,,,,,,,,,,
20907,7,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Content,,,,,,,Nice!,,,,,,,,,,,,,,,,,,,,,,,,,,,
20908,8,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Content,,,,,content id,20909,We’ve got some good ones.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20909,9,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Button,,,,,,,Do you want a stick?,,,Nope,"interior:auto transmission, feature:selectshift, feature:ecvt, feature:1-speed transmission",,content id,20910,Heck yeah,"interior:manual transmission,feature:manual transmission",,content id,20911,,,,,,,,,,,,,,,
20910,10,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Content,,,,,,,No sticks for you. Got it.,,,,,,,,,,,,,,,,,,,,,,,,,,,
20911,11,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Content,,,,,,,"Um, your cool factor just skyrocketed. We’ll add some manuals to the mix then.",,,,,,,,,,,,,,,,,,,,,,,,,,,
20920,20,,,,,,,Needs,Nameplate Filter,Performance ,200,,,Content,turtle-powered-by-rocketh-v1.gif,,,,content id,20908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21001,1,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,persona:distraction free,,Button,,,,,,,Where do you drive most often?,,,Mostly city,persona:city driving,,content id,21002,Mostly freeway,persona:fwy driving,,content id,21003,,,,,,,,,,,,,,,
21002,2,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Button,,,,,,,"Cool, I [heart emoji: U+2764] city humans. What’s your LEAST favorite part of driving in the city?",,,Bikes and traffic,,"They can be tricky and scary.  Don’t worry though, we have great tech for this.",content id,21014,Parallel parking,,You’re not the only one. That’s why we made this [down arrow: U+2B07],content id,21016,Getting lost,,Where’d you go?! Kidding. But I think you’ll like this feature. ,content id,21018,,,,,,,,,,
21003,3,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Button,,,,,,,"Ah, the open road. So what do you like LEAST about freeway driving?",,,Merging lanes,,This can definitely be stressful. This makes it less stressful.,content id,21020,Traffic,,If you liked it I’d be concerned. This tech makes it a little more bearable.,content id,21022,Finding my way,,"I’ve got a great navigator here for you, ${firstName}",content id,21018,,,,,,,,,,
21014,14,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Video,,Messenger,"1961309740857960,143392509639029,1971058246549094",,content id,21004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21004,4,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Caption,,,,,content id,21005,Front 180-degree camera*,This helpful video will explain how Front 180-degree camera works,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",,,,,,,,,,,,,,,,,,,,,,,,,
21005,5,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Quick Reply,,,,,,,Interested?,,,Want it.,"interior:adaptive steering, feature:adaptive steering",All around great choice. [eyes emoji : U+1F440],,,Nah.,,No problem [OK hand: U+1F44C].,,,,,,,,,,,,,,,,,
21016,16,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Video,,Messenger,"1961307820858155,143392389639041,1971058199882432",,content id,21006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21006,6,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Caption,,,,,content id,21007,Enhanced Active Park Assist*,This helpful video will explain how to engage Active Park Assist,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",,,,,,,,,,,,,,,,,,,,,,,,,
21007,7,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Quick Reply,,,,,,,Sound fitting?,,,I need this.,"exterior:active park assist,feature:active park assist",Superhero park mode added.,,,Not for me.,,Manual it is [wink face emoji : U+1F609] ,,,,,,,,,,,,,,,,,
21018,8,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Video,,Messenger,"1961309417524662,143392496305697,1971058239882428",,content id,21008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21008,8,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Caption,,,,,content id,21009,SYNC with Navigation*,This helpful video will explain how to engage SYNC,"Available feature. Don’t drive while distracted. Use voice-operated systems when possible; don’t use handheld devices while driving.  Some features may be locked out while the vehicle is in gear.  Not all features are compatible with all phones.Images and videos Available feature. Don’t drive while distracted. Use voice-operated systems when possible; don’t use handheld devices while driving.  Some features may be locked out while the vehicle is in gear.  Not all features are compatible with all phones.Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",,,,,,,,,,,,,,,,,,,,,,,,,
21009,9,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Quick Reply,,,,,,,Something you need?,,,"Yes, definitely","interior:SYNC3, feature:SYNC3",Your internal compass will fall in love [red heart: U+2764] it. ,,,"No, I’m good",,Nav Schmav [wink tongue out : U+1F61C],,,,,,,,,,,,,,,,,
21020,20,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Video,,Messenger,"1961308434191427,143392422972371,1971058219882430",,content id,21010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010,10,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Caption,,,,,content id,21011,Blind Spot Information System*,This helpful video will explain how to engage BLIS,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",,,,,,,,,,,,,,,,,,,,,,,,,
21011,11,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Quick Reply,,,,,,,Are you intruiged?,,,Want it.,"interior:blis, feature:blis",Knew you’d like it [crystal ball: U+1F52E].,,,"Cool, but no thx.",,Okay [grinning face: U+1F600],,,,,,,,,,,,,,,,,
21022,22,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Video,,Messenger,"1961306967524907,143392306305716,1971058136549105",,content id,21012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21012,12,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Caption,,,,,content id,21013,Adaptive Cruise Control with Collision Warning and Brake Support*,This helpful video will explain how Adaptive Cruise Control works,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",,,,,,,,,,,,,,,,,,,,,,,,,
21013,13,,,,,,,Needs,Nameplate Filter,Distraction Free Driving,200,,,Quick Reply,,,,,,,Add the triple threat?,,,"Yes, yes and yes.","exterior:adaptive cruise control, feature:adaptive cruise",3/3! [party popper: U+1F389],,,"No, no and nope.",,All good. [thumbs up: U+1F44D],,,,,,,,,,,,,,,,,
21101,1,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,persona:comfort,,Button,,,,,,,What will you mostly use your car for? ,,,Commuting,persona:commuter,,content id,21102,Errands,persona:errands,,content id,21104,My job,persona:worker,,content id,21106,,,,,,,,,,
21102,2,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,Are your commutes long?,,,Nah,,,content id,21103,Yep,persona:long travel,,content id,21103,,,,,,,,,,,,,,,
21103,3,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,What about your days off? What’s your most intense driving activity?,,,Errands,persona:errands,,,,Road trips,persona:long travel,,,,Extreme adventure,persona:adventurer,,content id,21109,,,,,,,,,,
21104,4,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,Are these errands long trips?,,,They can be,persona:long travel,,content id,21105,Just around town,persona:short travel,,content id,21105,,,,,,,,,,,,,,,
21105,5,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,What’s your most intense driving activity?,,,Errands,persona:errands,,,,Road trips,persona:long travel,,,,Extreme adventure,persona:adventurer,,content id,21109,,,,,,,,,,
21106,6,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,Do you rack up a lot of mileage?,,,Not a lot,persona:short travel,,content id,21107,Yes,persona:long travel,,content id,21107,,,,,,,,,,,,,,,
21107,7,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,Do you need to transport a lot of stuff for work?,,,Nah,interior:cargo small,,,,A fair amount,interior:cargo medium,,,,Very big things,"interior:cargo large, persona:trucker",,,,,,,,,,,,,
21109,9,,,,,,,Needs,Nameplate Filter,Comfortable Ride ,200,,,Button,,,,,,,What kind of adventure are we talking?,,,"Bike, surf, etc.",persona:light recreation,,,,Off-roading,persona:off-road,,content id,21401,Towing stuff,persona:towing,,content id,21301,,,,,,,,,,
21201,1,,,,,,,Needs,Nameplate Filter,View of the Sky,200,persona:sky,,Button,,,,,,,Nice! [sun emoji: U+2600] May I interest you in a convertible? ,,,Let’s see ’em,,,content id,21202,Just a sunroof,,,content id,21207,,,,,,,,,,,,,,,
21202,2,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,content id,21203,This one’s kind of a big deal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21203,3,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,content id,21211,We call it “The Mustang.” Maybe you’ve heard of it.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21204,4,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,,,We’ll find something more your speed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21205,5,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,content id,21206,"I knew there was something special about you, ${firstName}.",,,,,,,,,,,,,,,,,,,,,,,,,,,
21206,6,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,,,I’ll def get some convertibles in the mix. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21207,7,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,content id,21212,Got it. Something along these lines?,,,,,,,,,,,,,,,,,,,,,,,,,,,
21208,8,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,,,No worries.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21209,9,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,content id,21210,"Excellent taste, my friend.",,,,,,,,,,,,,,,,,,,,,,,,,,,
21210,10,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Content,,,,,,,We’ll add models with sunroofs to the mix. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21211,11,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Button,fordmatch-needs-nameplate-filter-view-of-the-sky-11.jpeg,,,,,,Mustang Convertible*,,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.",Love!,exterior:mustang convertible,,content id,21205,Not for me.,,,content id,21204,,,,,,,,,,,,,,,
21212,12,,,,,,,Needs,Nameplate Filter,View of the Sky,200,,,Button,fordmatch-needs-nameplate-filter-view-of-the-sky-12.jpeg,,,,,,Sunroofs*,Are like a window to the sky,"Images and videos shown are for information purposes only, and may not necessarily represent the configurable options selected or available on the vehicle. We cannot be responsible for typographical or other errors, including data transmission, display, or software errors, that may appear on the site.","Yes,please!","interior:sunroof, feature:moonroof, feature:panoramic moonroof",,content id,21209,Nah,,,content id,21208,,,,,,,,,,,,,,,
21301,1,,,,,,,Needs,Nameplate Filter,Tow,200,persona:towing,,Content,,,,,content id,21305,"Ok, how much are we towing?",,,,,,,,,,,,,,,,,,,,,,,,,,,
21302,2,,,,,,,Needs,Nameplate Filter,Tow,200,,,Content,,,,,,,Fantastic. We’ll match you with engines that can tow that much.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21305,5,,,,,,,Needs,Nameplate Filter,Tow,200,,,Carousel,towing-small-v1.png,,,,,,"ATV, motorcycles",,,"Up to 2,000 lbs.","exterior:towing small trailer,exterior:towing small trailerb,exterior:towing small trailerc, feature:class II hitch",,content id,21302,,,,,,,,,,,,,,,,,,,,
